ecCounts	passage	cellID
54.8729316743066	P4	R26-C66
58.0962841002492	P4	R18-C44
57.1475358510483	P4	R06-C42
49.3886571833664	P4	R08-C67
45.3453944115407	P4	R06-C54
48.8922928478464	P4	R04-C56
50.2474662876502	P4	R21-C10
46.8244357236659	P4	R15-C45
43.9046448617966	P4	R10-C66
51.3272463012462	P4	R23-C68
50.768398834691	P4	R04-C64
42.9616156814559	P4	R14-C27
42.4996402006717	P4	R13-C09
127.328905491705	P4	R07-C66
53.9727652243518	P4	R13-C45
97.7099795736239	P4	R17-C69
43.9745404567066	P4	R17-C67
35.7508115047927	P4	R15-C65
44.9075358020151	P4	R27-C24
60.0709262496733	P4	R09-C17
41.79653424505	P4	R18-C69
47.7779096862985	P4	R03-C65
44.4570994905215	P4	R13-C36
52.7159264289302	P4	R14-C59
38.5959202991861	P4	R23-C15
40.0070920538747	P4	R16-C67
40.0717379498493	P4	R14-C44
41.7825372155809	P4	R21-C24
50.5886600969712	P4	R15-C34
48.9699270845502	P4	R05-C20
42.164081988755	P4	R06-C43
40.1254661179971	P4	R21-C66
49.7957851171926	P4	R27-C30
45.2628974481429	P4	R19-C33
76.06910923384	P4	R16-C40
41.100990996918	P4	R07-C25
67.6524990483853	P4	R16-C66
43.8293856091491	P4	R05-C19
52.2066694132212	P4	R20-C43
44.2016756158184	P4	R06-C24
40.2870353258649	P4	R03-C26
33.5923863101368	P4	R19-C32
31.8454715952184	P4	R03-C10
44.203679407467	P4	R16-C62
36.0884692094708	P4	R19-C09
39.6042098649841	P4	R18-C25
41.0251484121012	P4	R09-C33
38.2889161935495	P4	R17-C27
40.6507484861245	P4	R19-C60
38.8668339179078	P4	R14-C66
34.192786969053	P4	R11-C31
40.2262075612322	P4	R12-C07
36.285370605948	P4	R16-C25
39.0166985337824	P4	R15-C48
43.8777408885597	P4	R06-C40
37.2282205256936	P4	R21-C16
39.348264829118	P4	R06-C50
27.5717823712989	P4	R09-C10
48.0185575168354	P4	R06-C70
41.7194175597576	P4	R09-C28
47.6640676159813	P4	R12-C69
36.0866196755825	P4	R16-C39
38.8230072253642	P4	R20-C67
30.5275969640927	P4	R15-C66
34.165856138003	P4	R21-C28
36.7325762812214	P4	R16-C52
32.5793123898331	P4	R08-C23
33.915610014135	P4	R17-C18
34.1343447727625	P4	R15-C47
37.0096120411179	P4	R03-C70
